-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(5)         0.00%       0.000us         0.00%       0.000us       0.000us       23.284s        88.12%       23.284s     134.592ms           173  
                                          matmul_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       15.984s        60.49%       15.984s     199.696us         80040  
ncclDevKernel_Generic_4(ncclDevKernelArgsStorage<102...         0.00%       0.000us         0.00%       0.000us       0.000us        2.227s         8.43%        2.227s      75.729us         29406  
                             fused_moe_kernel_int4_w4a8         0.00%       0.000us         0.00%       0.000us       0.000us        2.092s         7.92%        2.092s      76.087us         27492  
                             Torch-Compiled Region: 2/0         0.40%     101.606ms         7.56%        1.935s       2.780ms        1.944s         7.36%        2.084s       2.994ms           696  
                                  _per_token_quant_int8         0.00%       0.000us         0.00%       0.000us       0.000us     660.276ms         2.50%     660.276ms       6.140us        107532  
                                               aten::mm         0.20%      50.376ms         0.28%      72.103ms      82.877us     641.153ms         2.43%     641.153ms     736.957us           870  
Cijk_Alik_Bljk_BBH_MT64x32x32_SE_AMAS3_BL1_DRB16_ALT...         0.00%       0.000us         0.00%       0.000us       0.000us     641.153ms         2.43%     641.153ms     736.957us           870  
Cijk_Ailk_Bljk_BBH_MT32x32x32_SE_AMAS3_BL1_DRB16_ALT...         0.00%       0.000us         0.00%       0.000us       0.000us     480.806ms         1.82%     480.806ms      26.714us         17998  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     402.057ms         1.52%     402.057ms      28.179us         14268  
Cijk_Alik_Bljk_BBH_MT64x64x32_SE_AMAS3_BL1_DRB16_ALT...         0.00%       0.000us         0.00%       0.000us       0.000us     362.636ms         1.37%     362.636ms     521.778us           695  
                                      main_split_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     207.141ms         0.78%     207.141ms      14.518us         14268  
Cijk_Ailk_Bljk_BBH_MT32x16x32_SE_AMAS3_BL1_DRB16_ALT...         0.00%       0.000us         0.00%       0.000us       0.000us     197.164ms         0.75%     197.164ms      14.426us         13667  
                  execute_context_1(31)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     189.383ms         0.72%     189.383ms     189.383ms             1  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     185.154ms         0.70%     185.154ms       6.735us         27492  
                                          kernel_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     180.564ms         0.68%     180.564ms      20.755us          8700  
                             Torch-Compiled Region: 0/0         0.02%       5.377ms         0.41%     104.418ms     104.418ms     171.437ms         0.65%     182.789ms     182.789ms             1  
