-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(5)         0.00%       0.000us         0.00%       0.000us       0.000us       11.873s        84.13%       11.873s      66.332ms           179  
                             fused_moe_kernel_int4_w4a8         0.00%       0.000us         0.00%       0.000us       0.000us        2.177s        15.42%        2.177s      76.538us         28440  
ncclDevKernel_Generic_4(ncclDevKernelArgsStorage<102...         0.00%       0.000us         0.00%       0.000us       0.000us        2.149s        15.23%        2.149s      70.651us         30420  
Cijk_Alik_Bljk_BBH_MT32x32x32_SE_AMAS3_BL1_DRB16_ALT...         0.00%       0.000us         0.00%       0.000us       0.000us        1.727s        12.24%        1.727s      59.917us         28825  
                             Torch-Compiled Region: 2/0         0.75%      99.614ms        12.19%        1.617s       2.246ms        1.066s         7.56%        1.210s       1.680ms           720  
                                         Cijk_B_PostGSU         0.00%       0.000us         0.00%       0.000us       0.000us        1.036s         7.34%        1.036s      11.842us         87480  
Cijk_Alik_Bljk_BBH_MT32x32x32_SE_AMAS3_BL1_DRB16_ALT...         0.00%       0.000us         0.00%       0.000us       0.000us     760.483ms         5.39%     760.483ms      51.523us         14760  
                                               aten::mm         0.37%      48.836ms         0.50%      66.400ms      73.778us     661.651ms         4.69%     661.651ms     735.168us           900  
Cijk_Alik_Bljk_BBH_MT64x32x32_SE_AMAS3_BL1_DRB16_ALT...         0.00%       0.000us         0.00%       0.000us       0.000us     661.651ms         4.69%     661.651ms     735.168us           900  
Cijk_Ailk_Bljk_BBH_MT32x32x32_SE_AMAS3_BL1_DRB16_ALT...         0.00%       0.000us         0.00%       0.000us       0.000us     510.263ms         3.62%     510.263ms      27.401us         18622  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     415.278ms         2.94%     415.278ms      28.135us         14760  
Cijk_Alik_Bljk_BBH_MT32x32x32_SE_AMAS3_BL1_DRB16_ALT...         0.00%       0.000us         0.00%       0.000us       0.000us     390.923ms         2.77%     390.923ms      26.628us         14681  
Cijk_Alik_Bljk_BBH_MT64x64x32_SE_AMAS3_BL1_DRB16_ALT...         0.00%       0.000us         0.00%       0.000us       0.000us     369.428ms         2.62%     369.428ms     513.808us           719  
                                      main_split_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     222.503ms         1.58%     222.503ms      15.075us         14760  
Cijk_Ailk_Bljk_BBH_MT32x16x32_SE_AMAS3_BL1_DRB16_ALT...         0.00%       0.000us         0.00%       0.000us       0.000us     200.098ms         1.42%     200.098ms      14.150us         14141  
